,path,classes,species
0,../Dataset/train\rabbits\rabbits000.jpg,0,0
1,../Dataset/train\rabbits\rabbits001.jpg,0,0
2,../Dataset/train\rabbits\rabbits002.jpg,0,0
3,../Dataset/train\rabbits\rabbits003.jpg,0,0
4,../Dataset/train\rabbits\rabbits004.jpg,0,0
5,../Dataset/train\rabbits\rabbits005.jpg,0,0
6,../Dataset/train\rabbits\rabbits006.jpg,0,0
7,../Dataset/train\rabbits\rabbits007.jpg,0,0
8,../Dataset/train\rabbits\rabbits008.jpg,0,0
9,../Dataset/train\rabbits\rabbits009.jpg,0,0
10,../Dataset/train\rabbits\rabbits010.jpg,0,0
11,../Dataset/train\rabbits\rabbits011.jpg,0,0
12,../Dataset/train\rabbits\rabbits012.jpg,0,0
13,../Dataset/train\rabbits\rabbits013.jpg,0,0
14,../Dataset/train\rabbits\rabbits014.jpg,0,0
15,../Dataset/train\rabbits\rabbits015.jpg,0,0
16,../Dataset/train\rabbits\rabbits016.jpg,0,0
17,../Dataset/train\rabbits\rabbits017.jpg,0,0
18,../Dataset/train\rabbits\rabbits018.jpg,0,0
19,../Dataset/train\rabbits\rabbits019.jpg,0,0
20,../Dataset/train\rabbits\rabbits020.jpg,0,0
21,../Dataset/train\rabbits\rabbits021.jpg,0,0
22,../Dataset/train\rabbits\rabbits022.jpg,0,0
23,../Dataset/train\rabbits\rabbits023.jpg,0,0
24,../Dataset/train\rabbits\rabbits024.jpg,0,0
25,../Dataset/train\rabbits\rabbits025.jpg,0,0
26,../Dataset/train\rabbits\rabbits026.jpg,0,0
27,../Dataset/train\rabbits\rabbits027.jpg,0,0
28,../Dataset/train\rabbits\rabbits028.jpg,0,0
29,../Dataset/train\rabbits\rabbits029.jpg,0,0
30,../Dataset/train\rabbits\rabbits030.jpg,0,0
31,../Dataset/train\rabbits\rabbits031.jpg,0,0
32,../Dataset/train\rabbits\rabbits032.jpg,0,0
33,../Dataset/train\rabbits\rabbits033.jpg,0,0
34,../Dataset/train\rabbits\rabbits034.jpg,0,0
35,../Dataset/train\rabbits\rabbits035.jpg,0,0
36,../Dataset/train\rabbits\rabbits036.jpg,0,0
37,../Dataset/train\rabbits\rabbits037.jpg,0,0
38,../Dataset/train\rabbits\rabbits038.jpg,0,0
39,../Dataset/train\rabbits\rabbits039.jpg,0,0
40,../Dataset/train\rabbits\rabbits040.jpg,0,0
41,../Dataset/train\rabbits\rabbits041.jpg,0,0
42,../Dataset/train\rabbits\rabbits042.jpg,0,0
43,../Dataset/train\rabbits\rabbits043.jpg,0,0
44,../Dataset/train\rabbits\rabbits044.jpg,0,0
45,../Dataset/train\rabbits\rabbits045.jpg,0,0
46,../Dataset/train\rabbits\rabbits046.jpg,0,0
47,../Dataset/train\rabbits\rabbits047.jpg,0,0
48,../Dataset/train\rabbits\rabbits048.jpg,0,0
49,../Dataset/train\rabbits\rabbits049.jpg,0,0
50,../Dataset/train\rabbits\rabbits050.jpg,0,0
51,../Dataset/train\rabbits\rabbits051.jpg,0,0
52,../Dataset/train\rabbits\rabbits052.jpg,0,0
53,../Dataset/train\rabbits\rabbits053.jpg,0,0
54,../Dataset/train\rabbits\rabbits054.jpg,0,0
55,../Dataset/train\rabbits\rabbits055.jpg,0,0
56,../Dataset/train\rabbits\rabbits056.jpg,0,0
57,../Dataset/train\rabbits\rabbits057.jpg,0,0
58,../Dataset/train\rabbits\rabbits058.jpg,0,0
59,../Dataset/train\rabbits\rabbits059.jpg,0,0
60,../Dataset/train\rabbits\rabbits060.jpg,0,0
61,../Dataset/train\rabbits\rabbits061.jpg,0,0
62,../Dataset/train\rabbits\rabbits062.jpg,0,0
63,../Dataset/train\rabbits\rabbits063.jpg,0,0
64,../Dataset/train\rabbits\rabbits064.jpg,0,0
65,../Dataset/train\rabbits\rabbits065.jpg,0,0
66,../Dataset/train\rabbits\rabbits066.jpg,0,0
67,../Dataset/train\rabbits\rabbits067.jpg,0,0
68,../Dataset/train\rabbits\rabbits068.jpg,0,0
69,../Dataset/train\rabbits\rabbits069.jpg,0,0
70,../Dataset/train\rabbits\rabbits070.jpg,0,0
71,../Dataset/train\rabbits\rabbits071.jpg,0,0
72,../Dataset/train\rabbits\rabbits072.jpg,0,0
73,../Dataset/train\rabbits\rabbits073.jpg,0,0
74,../Dataset/train\rabbits\rabbits074.jpg,0,0
75,../Dataset/train\rabbits\rabbits075.jpg,0,0
76,../Dataset/train\rabbits\rabbits076.jpg,0,0
77,../Dataset/train\rabbits\rabbits077.jpg,0,0
78,../Dataset/train\rabbits\rabbits078.jpg,0,0
79,../Dataset/train\rabbits\rabbits079.jpg,0,0
80,../Dataset/train\rabbits\rabbits080.jpg,0,0
81,../Dataset/train\rabbits\rabbits081.jpg,0,0
82,../Dataset/train\rabbits\rabbits082.jpg,0,0
83,../Dataset/train\rabbits\rabbits083.jpg,0,0
84,../Dataset/train\rabbits\rabbits084.jpg,0,0
85,../Dataset/train\rabbits\rabbits085.jpg,0,0
86,../Dataset/train\rabbits\rabbits086.jpg,0,0
87,../Dataset/train\rabbits\rabbits087.jpg,0,0
88,../Dataset/train\rabbits\rabbits088.jpg,0,0
89,../Dataset/train\rabbits\rabbits089.jpg,0,0
90,../Dataset/train\rabbits\rabbits090.jpg,0,0
91,../Dataset/train\rabbits\rabbits091.jpg,0,0
92,../Dataset/train\rabbits\rabbits092.jpg,0,0
93,../Dataset/train\rabbits\rabbits093.jpg,0,0
94,../Dataset/train\rabbits\rabbits094.jpg,0,0
95,../Dataset/train\rabbits\rabbits095.jpg,0,0
96,../Dataset/train\rabbits\rabbits096.jpg,0,0
97,../Dataset/train\rabbits\rabbits097.jpg,0,0
98,../Dataset/train\rabbits\rabbits098.jpg,0,0
99,../Dataset/train\rabbits\rabbits099.jpg,0,0
100,../Dataset/train\rabbits\rabbits100.jpg,0,0
101,../Dataset/train\rabbits\rabbits101.jpg,0,0
102,../Dataset/train\rabbits\rabbits102.jpg,0,0
103,../Dataset/train\rabbits\rabbits103.jpg,0,0
104,../Dataset/train\rabbits\rabbits104.jpg,0,0
105,../Dataset/train\rabbits\rabbits105.jpg,0,0
106,../Dataset/train\rabbits\rabbits106.jpg,0,0
107,../Dataset/train\rabbits\rabbits107.jpg,0,0
108,../Dataset/train\rabbits\rabbits108.jpg,0,0
109,../Dataset/train\rabbits\rabbits109.jpg,0,0
110,../Dataset/train\rabbits\rabbits110.jpg,0,0
111,../Dataset/train\rabbits\rabbits111.jpg,0,0
112,../Dataset/train\rabbits\rabbits112.jpg,0,0
113,../Dataset/train\rabbits\rabbits113.jpg,0,0
114,../Dataset/train\rabbits\rabbits114.jpg,0,0
115,../Dataset/train\rabbits\rabbits115.jpg,0,0
116,../Dataset/train\rabbits\rabbits116.jpg,0,0
117,../Dataset/train\rabbits\rabbits117.jpg,0,0
118,../Dataset/train\rabbits\rabbits118.jpg,0,0
119,../Dataset/train\rabbits\rabbits119.jpg,0,0
120,../Dataset/train\rabbits\rabbits120.jpg,0,0
121,../Dataset/train\rabbits\rabbits121.jpg,0,0
122,../Dataset/train\rabbits\rabbits122.jpg,0,0
123,../Dataset/train\rabbits\rabbits123.jpg,0,0
124,../Dataset/train\rabbits\rabbits124.jpg,0,0
125,../Dataset/train\rabbits\rabbits125.jpg,0,0
126,../Dataset/train\rabbits\rabbits126.jpg,0,0
127,../Dataset/train\rabbits\rabbits127.jpg,0,0
128,../Dataset/train\rabbits\rabbits128.jpg,0,0
129,../Dataset/train\rabbits\rabbits129.jpg,0,0
130,../Dataset/train\rabbits\rabbits130.jpg,0,0
131,../Dataset/train\rabbits\rabbits131.jpg,0,0
132,../Dataset/train\rabbits\rabbits132.jpg,0,0
133,../Dataset/train\rabbits\rabbits133.jpg,0,0
134,../Dataset/train\rabbits\rabbits134.jpg,0,0
135,../Dataset/train\rabbits\rabbits135.jpg,0,0
136,../Dataset/train\rabbits\rabbits136.jpg,0,0
137,../Dataset/train\rabbits\rabbits137.jpg,0,0
138,../Dataset/train\rabbits\rabbits138.jpg,0,0
139,../Dataset/train\rabbits\rabbits139.jpg,0,0
140,../Dataset/train\rabbits\rabbits140.jpg,0,0
141,../Dataset/train\rabbits\rabbits141.jpg,0,0
142,../Dataset/train\rabbits\rabbits142.jpg,0,0
143,../Dataset/train\rabbits\rabbits143.jpg,0,0
144,../Dataset/train\rabbits\rabbits144.jpg,0,0
145,../Dataset/train\rabbits\rabbits145.jpg,0,0
146,../Dataset/train\rabbits\rabbits146.jpg,0,0
147,../Dataset/train\rabbits\rabbits147.jpg,0,0
148,../Dataset/train\rabbits\rabbits148.jpg,0,0
149,../Dataset/train\rabbits\rabbits149.jpg,0,0
150,../Dataset/train\rabbits\rabbits150.jpg,0,0
151,../Dataset/train\rabbits\rabbits151.jpg,0,0
152,../Dataset/train\rabbits\rabbits152.jpg,0,0
153,../Dataset/train\rabbits\rabbits153.jpg,0,0
154,../Dataset/train\rabbits\rabbits154.jpg,0,0
155,../Dataset/train\rabbits\rabbits155.jpg,0,0
156,../Dataset/train\rabbits\rabbits156.jpg,0,0
157,../Dataset/train\rabbits\rabbits157.jpg,0,0
158,../Dataset/train\rabbits\rabbits158.jpg,0,0
159,../Dataset/train\rabbits\rabbits159.jpg,0,0
160,../Dataset/train\rabbits\rabbits160.jpg,0,0
161,../Dataset/train\rabbits\rabbits161.jpg,0,0
162,../Dataset/train\rabbits\rabbits162.jpg,0,0
163,../Dataset/train\rabbits\rabbits163.jpg,0,0
164,../Dataset/train\rabbits\rabbits164.jpg,0,0
165,../Dataset/train\rabbits\rabbits165.jpg,0,0
166,../Dataset/train\rabbits\rabbits166.jpg,0,0
167,../Dataset/train\rabbits\rabbits167.jpg,0,0
